date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM,turn,tradestatus,isST
2021-06-07,sz.300750,407.5,139.685225,14.460686,15.70184,25.747798,1.5865,1,0
2021-06-08,sz.300750,409.59,140.401647,14.534852,15.782372,25.879854,1.2256,1,0
2021-06-09,sz.300750,409.37,140.326234,14.527045,15.773895,25.865953,0.6896,1,0
2021-06-10,sz.300750,434.63,148.985005,15.42343,16.747216,27.462001,1.426,1,0
2021-06-11,sz.300750,451.98,154.932339,16.039118,17.415748,28.558257,0.8572,1,0
2021-06-15,sz.300750,445.0,152.539694,15.791424,17.146794,28.117227,0.4439,1,0
2021-06-16,sz.300750,420.18,144.031749,14.910653,16.190427,26.548981,0.6049,1,0
2021-06-17,sz.300750,434.51,148.94387,15.419172,16.742592,27.454419,0.4448,1,0
2021-06-18,sz.300750,450.0,154.253623,15.968855,17.339455,28.433151,0.6755,1,0
2021-06-21,sz.300750,452.8,155.213423,16.068217,17.447345,28.610068,0.5232,1,0
2021-06-22,sz.300750,450.23,154.332463,15.977017,17.348317,28.447684,0.3831,1,0
2021-06-23,sz.300750,468.45,160.545883,16.620251,18.04676,29.592986,0.6132,1,0
2021-06-24,sz.300750,467.3,160.151758,16.57945,18.002457,29.520338,0.4539,1,0
2021-06-25,sz.300750,476.23,163.212223,16.89628,18.34648,30.084465,0.4905,1,0
2021-06-28,sz.300750,493.9,169.268036,17.523198,19.027206,31.200717,0.7215,1,0
2021-06-29,sz.300750,508.51,174.275135,18.04155,19.590048,32.123662,0.7558,1,0
2021-06-30,sz.300750,534.8,183.28517,18.974299,20.602854,33.784457,0.7122,1,0
2021-07-01,sz.300750,529.5,181.468769,18.786259,20.398675,33.449645,0.5579,1,0
2021-07-02,sz.300750,519.59,178.072442,18.43466,20.016898,32.823609,0.6834,1,0
2021-07-05,sz.300750,519.27,177.962772,18.423307,20.00457,32.803394,0.7071,1,0
2021-07-06,sz.300750,515.23,176.578194,18.27997,19.848932,32.548179,0.8895,1,0
2021-07-07,sz.300750,542.5,185.924093,19.247489,20.899492,34.270883,0.894,1,0
2021-07-08,sz.300750,559.16,191.633762,19.838574,21.541309,35.32333,0.7823,1,0
2021-07-09,sz.300750,545.88,187.082477,19.367409,21.029705,34.484405,0.7716,1,0
2021-07-12,sz.300750,565.79,193.905977,20.073801,21.796726,35.742162,0.7625,1,0
2021-07-13,sz.300750,563.01,192.953223,19.975169,21.689628,35.566543,0.6719,1,0
2021-07-14,sz.300750,551.37,188.963995,19.56219,21.241204,34.83122,0.6202,1,0
2021-07-15,sz.300750,568.0,194.663382,20.15221,21.881865,35.881772,0.6766,1,0
2021-07-16,sz.300750,531.0,181.982845,18.839478,20.456462,33.544403,0.8794,1,0
