date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM,turn,tradestatus,isST
2020-02-04,sh.601991,2.05,40.128573,0.888438,0.406483,-49.843471,0.2164,1,0
2020-02-05,sh.601991,2.08,40.71582,0.901439,0.412432,-50.572887,0.1426,1,0
2020-02-06,sh.601991,2.09,40.911569,0.905773,0.414415,-50.816026,0.1596,1,0
2020-02-07,sh.601991,2.1,41.107318,0.910107,0.416398,-51.059165,0.1161,1,0
2020-02-10,sh.601991,2.12,41.498817,0.918774,0.420363,-51.545443,0.122,1,0
2020-02-11,sh.601991,2.15,42.086064,0.931776,0.426312,-52.27486,0.1388,1,0
2020-02-12,sh.601991,2.16,42.281813,0.93611,0.428295,-52.517998,0.0851,1,0
2020-02-13,sh.601991,2.12,41.498817,0.918774,0.420363,-51.545443,0.1225,1,0
2020-02-14,sh.601991,2.13,41.694566,0.923108,0.422346,-51.788582,0.0917,1,0
2020-02-17,sh.601991,2.18,42.673312,0.944777,0.43226,-53.004276,0.1551,1,0
2020-02-18,sh.601991,2.19,42.869061,0.949111,0.434243,-53.247415,0.1354,1,0
2020-02-19,sh.601991,2.18,42.869061,0.949111,0.434243,-53.247415,0.1044,1,0
2020-02-20,sh.601991,2.23,43.652057,0.966447,0.442175,-54.219971,0.1486,1,0
2020-02-21,sh.601991,2.25,44.043555,0.975114,0.44614,-54.706248,0.1454,1,0
2020-02-24,sh.601991,2.24,43.847806,0.970781,0.444158,-54.46311,0.1408,1,0
2020-02-25,sh.601991,2.19,42.869061,0.949111,0.434243,-53.247415,0.165,1,0
2020-02-26,sh.601991,2.22,43.456308,0.962113,0.440192,-53.976832,0.1863,1,0
2020-02-27,sh.601991,2.22,43.456308,0.962113,0.440192,-53.976832,0.1344,1,0
2020-02-28,sh.601991,2.17,42.477562,0.940444,0.430278,-52.761137,0.1658,1,0
2020-03-02,sh.601991,2.25,44.043555,0.975114,0.44614,-54.706248,0.1542,1,0
2020-03-03,sh.601991,2.24,43.847806,0.970781,0.444158,-54.46311,0.133,1,0
2020-03-04,sh.601991,2.25,44.043555,0.975114,0.44614,-54.706248,0.1224,1,0
2020-03-05,sh.601991,2.28,44.630803,0.988116,0.452089,-55.435665,0.1873,1,0
2020-03-06,sh.601991,2.24,43.847806,0.970781,0.444158,-54.46311,0.1843,1,0
2020-03-09,sh.601991,2.22,43.456308,0.962113,0.440192,-53.976832,0.1301,1,0
2020-03-10,sh.601991,2.23,43.652057,0.966447,0.442175,-54.219971,0.1418,1,0
2020-03-11,sh.601991,2.21,43.260559,0.957779,0.438209,-53.733693,0.1297,1,0
2020-03-12,sh.601991,2.16,42.281813,0.93611,0.428295,-52.517998,0.1535,1,0
2020-03-13,sh.601991,2.13,41.694566,0.923108,0.422346,-51.788582,0.1695,1,0
2020-03-16,sh.601991,2.1,41.107318,0.910107,0.416398,-51.059165,0.1276,1,0
2020-03-17,sh.601991,2.11,41.303068,0.914441,0.418381,-51.302304,0.1378,1,0
2020-03-18,sh.601991,2.1,41.107318,0.910107,0.416398,-51.059165,0.1082,1,0
2020-03-19,sh.601991,2.08,40.71582,0.901439,0.412432,-50.572887,0.1363,1,0
2020-03-20,sh.601991,2.11,41.303068,0.914441,0.418381,-51.302304,0.1052,1,0
2020-03-23,sh.601991,2.04,39.932824,0.884104,0.404501,-49.600332,0.0994,1,0
2020-03-24,sh.601991,2.06,40.324322,0.892771,0.408466,-50.08661,0.1018,1,0
2020-03-25,sh.601991,2.09,40.911569,0.905773,0.414415,-50.816026,0.0658,1,0
2020-03-26,sh.601991,2.06,40.324322,0.892771,0.408466,-50.08661,0.0629,1,0
2020-03-27,sh.601991,2.07,40.520071,0.897105,0.410449,-50.329749,0.0755,1,0
2020-03-30,sh.601991,2.05,40.128573,0.888438,0.406483,-49.843471,0.084,1,0
2020-03-31,sh.601991,2.05,35.596306,0.90589,0.39746,-11.103824,0.0718,1,0
2020-04-01,sh.601991,2.04,35.422666,0.901471,0.395521,-11.049659,0.06,1,0
2020-04-02,sh.601991,2.07,35.943587,0.914728,0.401338,-11.212154,0.074,1,0
2020-04-03,sh.601991,2.06,35.769947,0.910309,0.399399,-11.157989,0.0504,1,0
2020-04-07,sh.601991,2.09,36.290868,0.923566,0.405215,-11.320484,0.0723,1,0
2020-04-08,sh.601991,2.08,36.117228,0.919147,0.403276,-11.266319,0.0548,1,0
2020-04-09,sh.601991,2.08,36.117228,0.919147,0.403276,-11.266319,0.0378,1,0
2020-04-10,sh.601991,2.07,35.943587,0.914728,0.401338,-11.212154,0.0429,1,0
2020-04-13,sh.601991,2.05,35.596306,0.90589,0.39746,-11.103824,0.0313,1,0
