date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM,turn,tradestatus,isST
2024-02-27,sh.600276,42.27,64.097946,6.802763,12.067906,165.887336,0.2764,1,0
2024-02-28,sh.600276,42.23,64.037291,6.796325,12.056486,165.730358,0.5336,1,0
2024-02-29,sh.600276,42.64,64.659012,6.862309,12.173539,167.33939,0.3976,1,0
2024-03-01,sh.600276,42.52,64.477045,6.842997,12.13928,166.868454,0.3383,1,0
2024-03-04,sh.600276,43.9,66.569667,7.065088,12.533264,172.284222,0.5908,1,0
2024-03-05,sh.600276,44.56,67.570487,7.171306,12.721691,174.874372,0.5823,1,0
2024-03-06,sh.600276,43.96,66.660651,7.074744,12.550393,172.51969,0.3404,1,0
2024-03-07,sh.600276,41.95,63.6127,6.751263,11.976547,164.631506,0.7176,1,0
2024-03-08,sh.600276,41.89,63.521717,6.741607,11.959417,164.396038,0.4352,1,0
2024-03-11,sh.600276,43.6,66.114749,7.016807,12.447615,171.106881,0.5106,1,0
2024-03-12,sh.600276,44.93,68.131553,7.230852,12.827324,176.326426,0.6768,1,0
2024-03-13,sh.600276,44.68,67.752454,7.190618,12.75595,175.345308,0.3255,1,0
2024-03-14,sh.600276,47.03,71.315979,7.568818,13.426865,184.567812,1.7245,1,0
2024-03-15,sh.600276,47.13,71.467618,7.584911,13.455415,184.960259,0.6881,1,0
2024-03-18,sh.600276,47.28,71.695077,7.609052,13.498239,185.54893,0.4674,1,0
2024-03-19,sh.600276,45.97,69.708602,7.398226,13.12424,180.407874,0.4268,1,0
2024-03-20,sh.600276,45.63,69.193028,7.343507,13.027171,179.073555,0.353,1,0
2024-03-21,sh.600276,45.63,69.193028,7.343507,13.027171,179.073555,0.2877,1,0
2024-03-22,sh.600276,45.93,69.647946,7.391788,13.11282,180.250896,0.3801,1,0
2024-03-25,sh.600276,46.16,69.996716,7.428803,13.178484,181.153524,0.3649,1,0
2024-03-26,sh.600276,46.27,70.16352,7.446506,13.209889,181.585215,0.3139,1,0
2024-03-27,sh.600276,45.91,69.617618,7.388569,13.10711,180.172406,0.2442,1,0
